Unique ID,Agency Name,Bureau Name,Program Name,Category,Subcategory,Project Name,City,County,State,Funding Amount Excluding Loans,Funding Source,Program Type,Project on Map,Historic ID,city,Place_Name,Average Household Size_(Total),Median household income,Median house value,White,Black_or_African_American,Asian,Hispanic or Latino,American_Indian_and_Alaska_Native,Total_Population
4449,Department of Transportation,Federal Aviation Administration,Airport Terminal Program,Transportation,Airports and Federal Aviation Administration Facilities,Airport Terminal Program - General Edward Lawrence Logan International Airport,Boston,Suffolk,Massachusetts,62000000.0,BIL,Discretionary,Y,P-4452,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
8436,Department of Transportation,Federal Aviation Administration,Airport Terminal Program,Transportation,Airports and Federal Aviation Administration Facilities,General Edward Lawrence Logan International Airport,Boston,Suffolk,Massachusetts,22500000.0,BIL,Discretionary,Y,P-8655,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
22064,Department of Transportation,Federal Aviation Administration,Airport Terminal Program,Transportation,Airports and Federal Aviation Administration Facilities,Airport Terminal Program - FY24 - General Edward Lawrence Logan International Airport - BOS,Boston,Suffolk,Massachusetts,12000000.0,BIL,Discretionary,Y,P-24176,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
7507,Department of Transportation,Federal Transit Administration,All Stations Accessibility Program,Transportation,Public Transportation,Massachusetts Bay Transportation Authority Station Upgrades,Boston,Suffolk,Massachusetts,66602931.0,BIL,Discretionary,N,P-7724,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
,Department of Transportation,Federal Highway Administration,Charging and Fueling Infrastructure Grants (Community Charging),Transportation,"Electric Vehicles, Buses, and Ferries",RECHARGE BOSTON: MAKING EV CHARGING PUBLICLY AVAILABLE IN EVERY NEIGHBORHOOD,Boston,Suffolk,Massachusetts,15000000.0,BIL,Discretionary,,,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
43211,Department of Energy,Energy Efficiency and Renewable Energy,Clean Hydrogen Electrolysis Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,Clean Hydrogen Electrolysis Program - Boston University,Boston,Suffolk,Massachusetts,5000000.0,BIL,Discretionary,Y,P-24466,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
16150,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries","Install 50 Dc Fast Chargers And Supporting Infrastructure, Including A New Transformer, And Deploy 50 Class 7 Electric School Buses To Replace 50 Class 7 Diesel School Buses.",Boston,Suffolk,Massachusetts,20063024.0,BIL,Discretionary,Y,P-17146,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
,Department of Commerce,National Oceanic and Atmospheric Administration,Climate-Ready Workforce initiative,Resiliency,Resiliency,Greater Boston Coastal Resilience Jobs Alliance,Boston,Suffolk,Massachusetts,9799687.0,BIL,Both,,,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
13390,Department of Energy,Energy Efficiency and Renewable Energy,Cost-effective Codes Implementation for Efficiency and Resilience,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,Massachusetts Department of Energy Resources,Boston,Suffolk,Massachusetts,3900000.0,BIL,Discretionary,Y,P-13993,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
27040,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Boston,Suffolk,Massachusetts,659990.0,BIL,Both,N,A-7081,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
40738,Environmental Protection Agency,Office of Environmental Justice and External Civil Rights,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program,Environmental Remediation,Environmental Remediation,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program - Health Resources in Action,Boston,Suffolk,Massachusetts,500000.0,IRA,Discretionary,Y,IRA-4892,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
40743,Environmental Protection Agency,Office of Environmental Justice and External Civil Rights,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program,Environmental Remediation,Environmental Remediation,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program - Massachusetts Coalition for Occupational Safety and Health,Boston,Suffolk,Massachusetts,150000.0,IRA,Discretionary,Y,IRA-4897,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
40836,Environmental Protection Agency,Office of Environmental Justice and External Civil Rights,Environmental and Climate Justice Block Grants: The Environmental Justice Government-to-Government (EJG2G) Program,Environmental Remediation,Environmental Remediation,Environmental and Climate Justice Block Grants: The Environmental Justice Government-to-Government (EJG2G) Program - City of Boston,Boston,Suffolk,Massachusetts,1000000.0,IRA,Discretionary,Y,IRA-4992,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
42005,Department of Commerce,National Oceanic and Atmospheric Administration,Investing in Coastal Communities and Climate Resilience,Resilience,Climate Resilience,Accelerating Climate & Ocean Resilience with Bluetech Innovation,Boston,Suffolk,Massachusetts,249299.0,IRA,Discretionary,Y,IRA-6188,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
4837,Department of Transportation,DOT Office of the Secretary,Local and Regional Project Assistance Grants (RAISE),Transportation,"Roads, Bridges, and Major Projects",Roxbury Resilient Transportation Corridors,Boston,Suffolk,Massachusetts,20000000.0,BIL,Discretionary,Y,P-4841,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
50641,Department of Transportation,Federal Transit Administration,Low or No Emission (Bus) Grants,Transportation,Public Transportation,MBTA Battery-Electric Bus Transition Phase 1B,Boston,Suffolk,Massachusetts,40000000.0,BIL,Discretionary,Y,,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
43406,Department of Transportation,Federal Highway Administration,Neighborhood Access and Equity Grant Program,Environmental Remediation,Environmental Remediation,I-90 Allston Multimodal Project,Boston,Suffolk,Massachusetts,335374775.0,IRA,Discretionary,N,IRA-7189,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
43405,Department of Transportation,Federal Highway Administration,Neighborhood Access and Equity Grant Program,Environmental Remediation,Environmental Remediation,Greening Chelsea Creek Waterfront,Boston,Suffolk,Massachusetts,2500000.0,IRA,Discretionary,Y,IRA-7188,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
8375,Department of Transportation,Federal Highway Administration,Reconnecting Communities Pilot Program,Transportation,"Roads, Bridges, and Major Projects",Reconnecting Chinatown,Boston,Suffolk,Massachusetts,1800000.0,BIL,Discretionary,Y,P-8594,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
16302,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,IMPLEMENTING BOSTON’S NEW TRAFFIC SIGNAL OPERATIONS DESIGN POLICY,Boston,Suffolk,Massachusetts,14400000.0,BIL,Discretionary,Y,P-17398,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
7986,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,Safety at Key Intersections in Boston,Boston,Suffolk,Massachusetts,9000000.0,BIL,Discretionary,Y,P-8203,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,City of Boston Supplemental Planning and Demonstration Activities,Boston,Suffolk,Massachusetts,2832532.0,BIL,Discretionary,,,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
14467,Environmental Protection Agency,State and Tribal Assistance Grants,Solid Waste Infrastructure for Recycling Infrastructure Grants,Environmental Remediation,Environmental Remediation,Solid Waste Infrastructure for Recycling Infrastructure Grants - Massachusetts Department of Environmental Protection,Boston,Suffolk,Massachusetts,411526.0,BIL,Discretionary,Y,P-15181,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
42986,Department of Transportation,DOT Office of the Secretary,Strengthening Mobility and Revolutionizing Transportation (SMART) Grants,Transportation,Public Transportation,Digitizing Boston’s Curbs Via Machine Learning,Boston,Suffolk,Massachusetts,1983872.0,BIL,Discretionary,Y,P-24399,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
38364,Department of Agriculture,Forest Service,Urban and Community Forestry Assistance Program,Parks and Conservation,Parks and Conservation,"Healthy Places Boston: Growing an Accessible, Inclusive and Resilient Urban Forest",Boston,Suffolk,Massachusetts,11406762.0,IRA,Both,Y,IRA-2512,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
49671,General Services Administration,Real Property Activities,Use of Low-Carbon Materials,"Clean Energy, Buildings, and Manufacturing",Clean Buildings and Homes,"John W. McCormack parking garage structural, slab, and paving repairs",Boston,Suffolk,Massachusetts,13200000.0,IRA,Discretionary,Y,,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
49670,General Services Administration,Real Property Activities,Use of Low-Carbon Materials,"Clean Energy, Buildings, and Manufacturing",Clean Buildings and Homes,JFK Federal Building Plaza replacement and waterproofing,Boston,Suffolk,Massachusetts,9100000.0,IRA,Discretionary,Y,,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
49672,General Services Administration,Real Property Activities,Use of Low-Carbon Materials,"Clean Energy, Buildings, and Manufacturing",Clean Buildings and Homes,OMS garage pavement repair,Boston,Suffolk,Massachusetts,1900000.0,IRA,Discretionary,Y,,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
47478,Department of Agriculture,Forest Service,Wood Innovations Grant Program,Other,Other,495 Dot Ave Senior Housing,Boston,Suffolk,Massachusetts,300000.0,IRA,Discretionary,Y,,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
7052,Department of Transportation,Federal Transit Administration,Pilot Program for Transit Oriented Development,Transportation,Public Transportation,Massachusetts Bay Transportation Authority,Boston,Suffolk,Massachusetts,576000.0,BIL,Discretionary,N,P-7259,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
6736,Environmental Protection Agency,State and Tribal Assistance Grants,Pollution Prevention Grants,Environmental Remediation,Environmental Remediation,"University of Massachusetts, Boston ",Boston,Suffolk,Massachusetts,350000.0,BIL,Discretionary,N,P-6916,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
4727,Department of Transportation,Federal Highway Administration,Construction of Ferry Boats and Ferry Terminal Facilities,Transportation,Ports and Waterways,Ferry Boat Program - Boston Harbor Cruises LLC (as MBTA's public ferry transportation provider),Boston,Suffolk,Massachusetts,1188464.0,BIL,Formula,Y,P-4731,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
16960,Department of Commerce,National Oceanic and Atmospheric Administration,National Coastal Resilience Fund,Resilience,Resilience,Designing Resilient Marsh Restoration in the Neponset River Estuary,Boston,Suffolk,Massachusetts,389700.0,BIL,Discretionary,Y,P-18056,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
38169,Department of Commerce,National Oceanic and Atmospheric Administration,Investing in Coastal Communities and Climate Resilience,Resilience,Climate Resilience,Developing a coupled benthic-pelagic biogeochemical model to evaluate the effectiveness of mCDR interventions,Boston,Suffolk,Massachusetts,1258967.0,IRA,Discretionary,N,IRA-2316,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
6020,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Upper Cape Cod Regional Vocational Technical,Bourne,Barnstable,Massachusetts,395000.0,BIL,Discretionary,Y,P-6182,bourne,Bourne,1.80,51595,374500,1408,0,0,14,0,1408
44566,Department of Commerce,National Oceanic and Atmospheric Administration,Coastal Zone Management,Resilience,Resilience,Puritan Bog Coastal Wetland Restoration Project,Bourne,Barnstable,Massachusetts,338134.0,BIL,Discretionary,Y,,bourne,Bourne,1.80,51595,374500,1408,0,0,14,0,1408
45924,Department of Commerce,National Oceanic and Atmospheric Administration,Fish Passage,Other,Other,Fish Passage - Buzzards Bay Coalition,Bourne,Barnstable,Massachusetts,3700000.0,BIL,Discretionary,N,,bourne,Bourne,1.80,51595,374500,1408,0,0,14,0,1408
3976,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Inland Flood Risk Management Projects,Resilience,Resilience,"Cape Cod Canal, MA",Bourne,Barnstable,Massachusetts,5175000.0,BIL,Discretionary,Y,P-3978,bourne,Bourne,1.80,51595,374500,1408,0,0,14,0,1408
14751,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Major Rehabilitation for Rivers and Harbors,Transportation,Ports and Waterways,"CAPE COD CANAL, MA",Bourne,Barnstable,Massachusetts,2000000.0,BIL,Discretionary,Y,P-15492,bourne,Bourne,1.80,51595,374500,1408,0,0,14,0,1408
3437,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Operation and Maintenance (No-Year),Transportation,Ports and Waterways,"Cape Cod Canal, MA",Bourne,Barnstable,Massachusetts,2665000.0,BIL,Discretionary,Y,P-3437,bourne,Bourne,1.80,51595,374500,1408,0,0,14,0,1408
14729,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Resilience,Resilience,"SMELT BROOK, BRAINTREE, MA",Braintree,Norfolk,Massachusetts,200000.0,BIL,Discretionary,Y,P-15470,braintree,Braintree,2.62,96522,456500,30013,1103,5149,777,63,37220
7370,Department of Commerce,National Oceanic and Atmospheric Administration,Fish Passage,Other,Other,Fish Passage: Braintree,Braintree,Norfolk,Massachusetts,2000000.0,BIL,Discretionary,Y,P-7577,braintree,Braintree,2.62,96522,456500,30013,1103,5149,777,63,37220
27041,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Braintree,Norfolk,Massachusetts,76390.0,BIL,Both,N,A-7082,braintree,Braintree,2.62,96522,456500,30013,1103,5149,777,63,37220
27042,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Brockton,Plymouth,Massachusetts,151670.0,BIL,Both,N,A-7083,brockton,Brockton,2.95,58469,264800,34527,43582,1922,10601,446,95594
13181,Department of Transportation,DOT Office of the Secretary,Local and Regional Project Assistance Grants (RAISE),Transportation,"Roads, Bridges, and Major Projects",Downtown Brockton Infrastructure Improvement Project,Brockton,Plymouth,Massachusetts,7843750.0,BIL,Discretionary,Y,P-13777,brockton,Brockton,2.95,58469,264800,34527,43582,1922,10601,446,95594
13035,Department of Transportation,Federal Transit Administration,Low or No Emission (Bus) Grants,Transportation,Public Transportation,The Brockton Area Transit Authority,Brockton,Plymouth,Massachusetts,10694736.0,BIL,Discretionary,Y,P-13631,brockton,Brockton,2.95,58469,264800,34527,43582,1922,10601,446,95594
16574,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,SS4A Demonstration Grant in Brockton Massachusetts,Brockton,Plymouth,Massachusetts,188480.0,BIL,Discretionary,Y,P-17670,brockton,Brockton,2.95,58469,264800,34527,43582,1922,10601,446,95594
8877,Department of Transportation,DOT Office of the Secretary,Strengthening Mobility and Revolutionizing Transportation (SMART) Grants,Transportation,Public Transportation,Downtown Brockton Transportation Technology Project,Brockton,Plymouth,Massachusetts,1496630.0,BIL,Discretionary,Y,P-9130,brockton,Brockton,2.95,58469,264800,34527,43582,1922,10601,446,95594
27043,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Brookline,Norfolk,Massachusetts,120650.0,BIL,Both,N,A-7084,brookline,Brookline,2.35,117326,933200,42598,1923,10258,4012,104,59180
18804,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Burlington,Burlington,Middlesex,Massachusetts,125000.0,BIL,Formula,Y,P-20760,burlington,Burlington,2.76,118721,533800,20545,1250,4636,845,48,27650
27044,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Cambridge,Middlesex,Massachusetts,182140.0,BIL,Both,N,A-7085,cambridge,Cambridge,2.13,103154,768300,77111,12512,19421,11066,192,116632
48762,Department of Housing and Urban Development,"Office of Housing, Multifamily Housing, Office of Recapitalization",Green and Resilient Retrofit Program - Leading Edge Cohort,"Clean Energy, Buildings, and Manufacturing",Clean Buildings and Homes,Roosevelt Towers,Cambridge,Middlesex,Massachusetts,4620000.0,IRA,Discretionary,Y,,cambridge,Cambridge,2.13,103154,768300,77111,12512,19421,11066,192,116632
43404,Department of Transportation,Federal Highway Administration,Neighborhood Access and Equity Grant Program,Environmental Remediation,Environmental Remediation,A bicycle and pedestrian crossing of the Fitchburg MBTA commuter rail line in north Cambridge,Cambridge,Middlesex,Massachusetts,2400000.0,IRA,Discretionary,Y,IRA-7187,cambridge,Cambridge,2.13,103154,768300,77111,12512,19421,11066,192,116632
1668,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY22 - Chatham Municipal - CQX,Chatham,Barnstable,Massachusetts,159000.0,BIL,Both,Y,P-1668,chatham,Chatham,1.68,81630,778600,1414,0,0,0,0,1428
10248,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY23 - Chatham Municipal - CQX,Chatham,Barnstable,Massachusetts,145000.0,BIL,Both,Y,P-10501,chatham,Chatham,1.68,81630,778600,1414,0,0,0,0,1428
20149,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY24 - Chatham Municipal - CQX,Chatham,Barnstable,Massachusetts,144000.0,BIL,Both,Y,P-22261,chatham,Chatham,1.68,81630,778600,1414,0,0,0,0,1428
14648,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Resilience,Resilience,"CHATHAM STAGE HARBOR, CHATHAM, MA",Chatham,Barnstable,Massachusetts,200000.0,BIL,Discretionary,Y,P-15389,chatham,Chatham,1.68,81630,778600,1414,0,0,0,0,1428
3438,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Operation and Maintenance (No-Year),Transportation,Ports and Waterways,"Chatham (Stage) Harbor, MA",Chatham,Barnstable,Massachusetts,500000.0,BIL,Discretionary,Y,P-3438,chatham,Chatham,1.68,81630,778600,1414,0,0,0,0,1428
27046,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Chelsea,Suffolk,Massachusetts,76360.0,BIL,Both,N,A-7087,chelsea,Chelsea,2.96,56802,350800,19344,2561,1604,26794,21,39992
16576,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,Chelsea SS4A Action Plan,Chelsea,Suffolk,Massachusetts,280000.0,BIL,Discretionary,Y,P-17672,chelsea,Chelsea,2.96,56802,350800,19344,2561,1604,26794,21,39992
27047,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Chicopee,Hampden,Massachusetts,116600.0,BIL,Both,N,A-7088,chicopee,Chicopee,2.35,53225,182100,47556,2856,1306,11620,56,55421
